comprador,calificacion,estado,titulo,comentario
Inma Tante,"5,0 de 5 estrellas",Revisado en España el 2 de marzo de 2021,Cumple todas las expectativas,"El producto es estupendo, cumple todas las expectativas, muy práctico y fácil de usar. Sin duda lo recomiendo como tratamiento complementario en casa para todas aquellas personas que tengan dolencias de cuello y espalda."
Gabriela Aparicio,"4,0 de 5 estrellas",Revisado en España el 20 de mayo de 2020,Alivia un poco,"No es tal cual un masaje, pero relaja y alivia, sobre todo con calor."
Claudio,"2,0 de 5 estrellas",Revisado en España el 26 de mayo de 2021,Ni fu ni fa.,Caja machacada.  El producto ni fu ni fa. Nada del otro mundo. Normalito más bien.
manuel,"5,0 de 5 estrellas",Revisado en España el 15 de mayo de 2020,PERFECTO,ME VIENE PERFECTO PARA LO QUE LO NECESITO
Luz mary,"4,0 de 5 estrellas",Revisado en España el 27 de diciembre de 2020,Me gusto,Me gusta da buenos masajes
Jessica,"5,0 de 5 estrellas",Revisado en España el 27 de septiembre de 2020,Excelente,"La mejor inversión, me encanta"
Laura Sainz,"4,0 de 5 estrellas",Revisado en España el 12 de julio de 2020,Producto recomendado,Buen producto. Un poco pesado pero hace su funcion. Da unos masajes buenisimos y la funcion calor es perfecta.
Sylvia,"4,0 de 5 estrellas",Revisado en España el 20 de noviembre de 2020,Muy bueno!!,
Daniel Jimenez,"3,0 de 5 estrellas",Revisado en España el 22 de abril de 2020,Bastante bien el aparato,TOP 1000 COMENTARISTAS
Cliente Amazon,"4,0 de 5 estrellas",Revisado en España el 4 de junio de 2020,Alivia muscularmente,Me alivia muscularmente aunque esta claro que no sustituye un fisio Peto a mi me gusta el resultado
Mujer,"5,0 de 5 estrellas",Revisado en España el 1 de diciembre de 2020,Masajear el cuello sin ayuda,Muy util para los cervicales. Relaja los nudos y sensacion de bienestar.
Meri,"5,0 de 5 estrellas",Revisado en España el 19 de junio de 2020,Masaje de cuello genial.,Muy agradable.
Nabila89,"5,0 de 5 estrellas",Revisado en España el 4 de agosto de 2020,5 estrellas totalmente.,Es como tener un fisio en casa. Llevo 2 días usándolo y la verdad me está ayudando bastante con mis contracturas.
Alex 'BigHagar' Machado,"5,0 de 5 estrellas",Revisado en España el 30 de mayo de 2021,Resulta,Cumpre com o anunciado e mais barato que outros produtos similares no mercado.
Cliente Amazon,"5,0 de 5 estrellas",Revisado en España el 11 de febrero de 2021,Funciona muy bien,"Me ha sorprendido gratamente, alivia las tensiones sobre todo en la espalda."
Loli,"5,0 de 5 estrellas",Revisado en España el 28 de noviembre de 2020,Cumple expectativas,Lo recomiendo
Miriam,"5,0 de 5 estrellas",Revisado en España el 25 de abril de 2020,Enamorada!,He dejado a mi novio. Ya no lo necesito. La mejor inversión que he hecho nunca!
Almu,"5,0 de 5 estrellas",Revisado en España el 19 de marzo de 2020,PERFECTO,Es súper cómodo de usar y te alivia un montón!
Maribel aragon,"5,0 de 5 estrellas",Revisado en España el 4 de abril de 2021,"Funciona, calma el dolor","Es práctico y cómodo, cumple con lo reseñado, lo recomiendo"
